ReportingArea,Region,Year,Brucellosis,Campylobacteriosis,Chancroid,Chlamydia trachomatis infection,Cholera,Coccidioidomycosis,"Cryptosporidiosis, Total","Cryptosporidiosis, Confirmed","Cryptosporidiosis, Probable",Cyclosporiasis,"Dengue virus infections, Dengue","Dengue virus infections, Dengue-like illness","Dengue virus infections, Severe dengue",Diphtheria,"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis",Listeriosis,"Lyme disease, Total","Lyme disease, Confirmed","Lyme disease, Probable",Malaria,"Measles, Total","Measles, Indigenous","Measles, Imported","Candida auris, clinical",Carbapenemase-producing carbapenem-resistant Enterobacteriaceae,"Listeriosis, Total","Listeriosis, Confirmed","Listeriosis, Probable"
Indiana,MIDWEST,2017,NA,1147,NA,34278,1,12,223,134,89,4,3,NA,NA,NA,NA,NA,NA,39,17,142,92,50,18,NA,NA,NA,NA,NA,NA,NA,NA
Michigan,MIDWEST,2017,1,1731,1,50595,1,25,422,342,80,38,9,1,NA,NA,15,3,NA,3,29,291,196,95,44,2,1,1,NA,NA,NA,NA,NA
Ohio,MIDWEST,2017,NA,2085,NA,61389,NA,28,649,438,211,23,5,1,NA,NA,4,17,NA,NA,28,270,233,37,63,1,NA,1,NA,NA,NA,NA,NA
Wisconsin,MIDWEST,2017,2,1705,NA,27740,NA,11,727,461,266,23,18,NA,NA,NA,684,58,1,85,11,3000,1794,1206,10,NA,NA,NA,NA,NA,NA,NA,NA
West North Central,OTHER,2017,12,6127,NA,99979,1,124,1887,1334,553,97,19,1,NA,NA,680,364,24,53,34,2707,1557,1150,156,78,75,3,NA,NA,NA,NA,NA
Iowa,MIDWEST,2017,1,1154,NA,13893,NA,NA,538,327,211,29,4,1,NA,NA,11,10,NA,3,3,255,112,143,19,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,MIDWEST,2017,NA,734,NA,13554,NA,NA,128,90,38,7,2,NA,NA,NA,1,47,2,1,3,40,13,27,17,2,NA,2,NA,NA,NA,NA,NA
Minnesota,MIDWEST,2017,4,1552,NA,23539,1,83,481,388,93,23,11,NA,NA,NA,638,6,1,32,15,2318,1408,910,67,75,75,NA,NA,NA,NA,NA,NA
Missouri,MIDWEST,2017,2,1480,NA,32683,NA,22,332,265,67,25,1,NA,NA,NA,12,299,20,14,7,12,2,10,27,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,MIDWEST,2017,4,586,NA,8595,NA,6,203,168,35,9,1,NA,NA,NA,NA,1,1,NA,3,14,6,8,7,1,NA,1,NA,NA,NA,NA,NA
North Dakota,MIDWEST,2017,NA,226,NA,3278,NA,7,42,36,6,NA,NA,NA,NA,NA,17,1,NA,3,1,56,12,44,11,NA,NA,NA,NA,NA,NA,NA,NA
South Dakota,MIDWEST,2017,1,395,NA,4437,NA,6,163,60,103,4,NA,NA,NA,NA,1,NA,NA,NA,2,12,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA
South Atlantic,OTHER,2017,32,10897,1,354662,2,8,1699,1126,573,276,49,NA,1,NA,52,281,2,13,192,5422,3436,1986,544,5,4,1,NA,NA,NA,NA,NA
Delaware,EAST,2017,1,203,NA,5392,NA,NA,36,14,22,1,1,NA,NA,NA,9,26,1,NA,3,608,421,187,10,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,OTHER,2017,2,78,NA,9107,NA,NA,43,36,7,4,5,NA,NA,NA,NA,NA,NA,NA,3,84,62,22,20,1,1,NA,NA,NA,NA,NA,NA
Florida,SOUTHEAST,2017,11,4318,NA,100018,1,NA,556,296,260,113,16,NA,NA,NA,9,16,NA,2,54,210,124,86,58,3,3,NA,NA,NA,NA,NA,NA
Georgia,SOUTHEAST,2017,6,1177,NA,65104,NA,NA,349,349,NA,22,5,NA,NA,NA,NA,2,NA,1,34,8,8,NA,77,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,EAST,2017,3,886,NA,33416,1,8,100,71,29,37,9,NA,NA,NA,8,47,1,NA,27,1891,1194,697,238,1,NA,1,NA,NA,NA,NA,NA
North Carolina,EAST,2017,1,1824,1,62876,NA,NA,211,145,66,63,3,NA,NA,NA,9,70,NA,NA,22,295,70,225,47,NA,NA,NA,NA,NA,NA,NA,NA
South Carolina,SOUTHEAST,2017,2,441,NA,32235,NA,NA,112,97,15,14,NA,NA,NA,NA,NA,NA,NA,4,14,21,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,EAST,2017,5,1531,NA,42374,NA,NA,239,78,161,18,10,NA,1,NA,15,114,NA,5,26,1657,1041,616,92,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,EAST,2017,1,439,NA,4140,NA,NA,53,40,13,4,NA,NA,NA,NA,2,6,NA,1,9,648,503,145,2,NA,NA,NA,NA,NA,NA,NA,NA
East South Central,OTHER,2017,3,3021,NA,105491,NA,1,548,355,193,6,6,NA,NA,NA,25,198,4,13,34,109,47,62,40,NA,NA,NA,NA,NA,NA,NA,NA
Alabama,SOUTHEAST,2017,NA,789,NA,29935,NA,NA,189,100,89,NA,NA,NA,NA,NA,6,11,NA,NA,5,41,25,16,8,NA,NA,NA,NA,NA,NA,NA,NA
Kentucky,EAST,2017,1,821,NA,19320,NA,1,91,45,46,NA,1,NA,NA,NA,2,75,2,4,9,20,6,14,11,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi,SOUTHEAST,2017,1,486,NA,21149,NA,NA,62,62,NA,NA,2,NA,NA,NA,NA,15,NA,4,7,1,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
Tennessee,EAST,2017,1,925,NA,35087,NA,NA,206,148,58,6,3,NA,NA,NA,17,97,2,5,13,47,15,32,15,NA,NA,NA,NA,NA,NA,NA,NA
West South Central,OTHER,2017,31,8141,2,225361,1,16,1625,1209,416,343,42,2,2,NA,9,296,10,NA,68,77,41,36,175,1,NA,1,NA,NA,NA,NA,NA
Arkansas,SOUTHEAST,2017,1,626,NA,17320,NA,6,131,127,4,2,NA,NA,NA,NA,5,197,9,NA,9,6,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Louisiana,SOUTHEAST,2017,2,824,NA,34756,1,10,145,64,81,22,1,NA,NA,NA,NA,2,NA,NA,8,12,8,4,9,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma,SOUTHWEST,2017,2,1243,NA,21752,NA,NA,197,163,34,NA,1,NA,1,NA,2,81,1,NA,9,1,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA
Texas,SOUTHWEST,2017,26,5448,2,151533,NA,NA,1152,855,297,319,40,2,1,NA,2,16,NA,NA,42,58,31,27,152,1,NA,1,NA,NA,NA,NA,NA
Mountain,OTHER,2017,9,5232,NA,119450,NA,7192,789,564,225,61,14,NA,1,NA,10,NA,NA,NA,34,113,64,49,81,3,2,1,NA,NA,NA,NA,NA
Arizona,SOUTHWEST,2017,8,1372,NA,39598,NA,6885,112,96,16,8,3,NA,NA,NA,4,NA,NA,NA,8,28,18,10,26,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,NORTHWEST,2017,NA,1193,NA,26995,NA,NA,200,146,54,29,4,NA,1,NA,NA,NA,NA,NA,11,4,4,NA,32,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,NORTHWEST,2017,NA,506,NA,6200,NA,NA,94,73,21,NA,1,NA,NA,NA,NA,NA,NA,NA,2,20,15,5,5,NA,NA,NA,NA,NA,NA,NA,NA
Montana,NORTHWEST,2017,NA,406,NA,4560,NA,18,70,63,7,3,NA,NA,NA,NA,4,NA,NA,NA,2,12,4,8,3,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,NORTHWEST,2017,NA,174,NA,16260,NA,182,43,11,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,17,7,10,6,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,SOUTHWEST,2017,NA,788,NA,13560,NA,23,122,115,7,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
